Freq,Vel_ray,Vel_lov
0.200885574,639.1814619,698.5050543
0.205907713,638.938663,698.4287737
0.211055406,638.6896109,698.3486333
0.216331791,638.4341415,698.2643737
0.221740086,638.1720864,698.1757799
0.227283588,637.9032727,698.0826253
0.232965678,637.6275228,697.9846713
0.23878982,637.3446546,697.8816661
0.244759565,637.054481,697.7733444
0.250878554,636.7568099,697.6594265
0.257150518,636.4514442,697.5396173
0.263579281,636.1381815,697.4136057
0.270168763,635.8168143,697.2810635
0.276922982,635.4871291,697.1416441
0.283846057,635.1489074,696.9949821
0.290942208,634.8019245,696.8406916
0.298215763,634.4459499,696.6783651
0.305671157,634.0807472,696.5075725
0.313312936,633.7060737,696.3278592
0.32114576,633.3216804,696.138745
0.329174404,632.9273119,695.9397224
0.337403764,632.5227061,695.730255
0.345838858,632.1075941,695.5097755
0.354484829,631.6817003,695.277684
0.36334695,631.2447419,695.0333455
0.372430624,630.7964287,694.7760883
0.381741389,630.3364636,694.5052011
0.391284924,629.8645415,694.2199307
0.401067047,629.38035,693.919479
0.411093723,628.8835687,693.6030006
0.421371066,628.3738692,693.269599
0.431905343,627.8509152,692.9183233
0.442702977,627.3143619,692.5481651
0.453770551,626.7638562,692.1580539
0.465114815,626.1990365,691.7468531
0.476742685,625.6195323,691.3133555
0.488661252,625.0249645,690.8562784
0.500877784,624.4149449,690.3742581
0.513399728,623.7890759,689.8658443
0.526234721,623.1469511,689.329494
0.539390589,622.4881543,688.7635647
0.552875354,621.8122598,688.1663074
0.566697238,621.1188322,687.5358588
0.580864669,620.4074261,686.8702329
0.595386286,619.6775863,686.1673121
0.610270943,618.928847,685.4248375
0.625527716,618.1607323,684.6403432
0.641165909,617.3727554,683.8113633
0.657195057,616.5644188,682.935097
0.673624934,615.7352138,682.0086078
0.690465557,614.8846203,681.0287575
0.707727196,614.0121063,679.9921916
0.725420376,613.1171277,678.8953236
0.743555885,612.199128,677.7343179
0.762144782,611.2575369,676.5050723
0.781198402,610.2917708,675.2031993
0.800728362,609.3012311,673.8240065
0.820746571,608.2853036,672.3624769
0.841265235,607.2433575,670.8132477
0.862296866,606.1747436,669.1705894
0.883854288,605.0787932,667.428385
0.905950645,603.9548159,665.5801094
0.928599411,602.8020975,663.6188107
0.951814396,601.6198969,661.5370928
0.975609756,600.4074434,659.3271016
1,599.1639324,656.9805159
1.025,597.8885214,654.4885443
1.050625,596.5803241,651.8419305
1.076890625,595.2384047,649.03097
1.103812891,593.8617703,646.0455406
1.131408213,592.4493621,642.8751512
1.159693418,591.0000457,639.5090128
1.188685754,589.5125988,635.9361371
1.218402898,587.9856981,632.1454673
1.24886297,586.4179024,628.1260858
1.280084544,584.8076347,623.8672775
1.312086658,583.1531599,619.3590152
1.344888824,581.4525598,614.5921379
1.378511045,579.703704,609.5587497
1.412973821,577.9042154,604.252649
1.448298166,576.0514316,598.6698003
1.484505621,574.1423591,592.8088384
1.521618261,572.1736206,586.6715836
1.559658718,570.1413943,580.2635375
1.598650186,568.0413437,573.5943194
1.63861644,565.8685364,566.6779993
1.679581851,563.6173502,559.5333216
1.721571398,561.2813658,552.183487
1.764610683,558.8532422,544.6562538
1.80872595,556.324575,536.9831482
1.853944098,553.6857336,529.1987985
1.900292701,550.9256777,521.3399968
1.947800018,548.0317505,513.4445796
1.996495019,544.9894497,505.5502485
2.046407394,541.7821804,497.6934104
2.097567579,538.3909956,489.9081185
2.150006769,534.7943404,482.2251867
2.203756938,530.9678579,474.6715228
2.258850861,526.884107,467.2696999
2.315322133,522.5127421,460.0377634
2.373205186,517.8206125,452.9892445
2.432535316,512.7724196,446.1333463
2.493348699,507.3319377,439.475254
2.555682416,501.4640853,433.0165296
2.619574476,495.1381286,426.7555479
2.685063838,488.3321575,420.6879641
2.752190434,481.0389813,414.8070595
2.820995195,473.2727333,409.1043298
2.891520075,465.0752375,403.5696632
2.963808077,456.5201438,398.1917459
